                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51916,                0.85714,                      1,                0.50464,             0.00023538,             0.00023538,             0.00023538
                      2,                0.36802,                0.87013,                      1,                0.52588,             0.00045776,             0.00045776,             0.00045776
                      3,                0.34624,                0.85714,                      1,                0.49129,             0.00066443,             0.00066443,             0.00066443
                      4,                0.31414,                0.88312,                      1,                0.45451,             0.00064331,             0.00064331,             0.00064331
                      5,                0.28954,                0.88312,                      1,                0.44743,             0.00061975,             0.00061975,             0.00061975
                      6,                0.28622,                 0.8961,                      1,                0.44246,             0.00059619,             0.00059619,             0.00059619
                      7,                0.27378,                0.87013,                      1,                0.44344,             0.00057263,             0.00057263,             0.00057263
                      8,                0.26151,                0.83117,                      1,                 0.4742,             0.00054907,             0.00054907,             0.00054907
                      9,                0.23707,                 0.8961,                      1,                0.42814,              0.0005255,              0.0005255,              0.0005255
                     10,                0.24598,                0.90909,                      1,                0.41569,             0.00050194,             0.00050194,             0.00050194
                     11,                0.21651,                 0.8961,                      1,                0.41219,             0.00047838,             0.00047838,             0.00047838
                     12,                 0.2266,                0.87013,                      1,                0.48267,             0.00045482,             0.00045482,             0.00045482
                     13,                0.21348,                 0.8961,                      1,                0.42928,             0.00043126,             0.00043126,             0.00043126
                     14,                0.21845,                0.85714,                      1,                0.42847,             0.00040769,             0.00040769,             0.00040769
                     15,                0.22611,                0.88312,                      1,                0.40869,             0.00038413,             0.00038413,             0.00038413
                     16,                0.18885,                0.87013,                      1,                0.41862,             0.00036057,             0.00036057,             0.00036057
                     17,                0.16864,                 0.8961,                      1,                0.44613,             0.00033701,             0.00033701,             0.00033701
                     18,                0.19875,                 0.8961,                      1,                0.43945,             0.00031345,             0.00031345,             0.00031345
                     19,                0.18968,                 0.8961,                      1,                0.42814,             0.00028988,             0.00028988,             0.00028988
                     20,                0.17369,                0.88312,                      1,                0.43945,             0.00026632,             0.00026632,             0.00026632
                     21,                0.16587,                0.87013,                      1,                0.43709,             0.00024276,             0.00024276,             0.00024276
                     22,                0.16563,                 0.8961,                      1,                0.41561,              0.0002192,              0.0002192,              0.0002192
                     23,                0.15635,                 0.8961,                      1,                0.40837,             0.00019564,             0.00019564,             0.00019564
                     24,                0.13996,                 0.8961,                      1,                0.39941,             0.00017207,             0.00017207,             0.00017207
                     25,                 0.1368,                0.90909,                      1,                0.38989,             0.00014851,             0.00014851,             0.00014851
                     26,                0.15028,                 0.8961,                      1,                0.39111,             0.00012495,             0.00012495,             0.00012495
                     27,                0.11978,                 0.8961,                      1,                0.40031,             0.00010139,             0.00010139,             0.00010139
                     28,                0.13587,                 0.8961,                      1,                0.39364,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.13644,                 0.8961,                      1,                0.38851,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.12882,                 0.8961,                      1,                0.41406,             3.0702e-05,             3.0702e-05,             3.0702e-05
