                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98595,                 2.2619,                0.95239,                      1,                0.90522,                  0.995,                0.76135,                0.89413,                 1.9007,                0.86656,                0.00034,                0.00034,                0.00034
                      2,                0.89367,                 0.9529,                0.91689,                      1,                 0.7792,                0.98517,                0.83129,                0.63619,                 2.1672,                0.82503,              0.0006769,              0.0006769,              0.0006769
                      3,                0.82531,                0.78664,                0.90105,                      1,                0.94821,                  0.995,                 0.8349,                0.59777,                 1.6809,                0.82376,             0.00099004,             0.00099004,             0.00099004
                      4,                0.77622,                0.69251,                0.89139,                      1,                0.99575,                  0.995,                0.86169,                 0.5483,                 1.4222,                0.82166,              0.0012794,              0.0012794,              0.0012794
                      5,                0.80147,                0.67621,                 0.8884,                      1,                0.98833,                  0.995,                0.86859,                0.53253,                 1.2476,                0.83071,               0.001545,               0.001545,               0.001545
                      6,                0.78363,                0.65259,                0.89402,                0.99779,                      1,                  0.995,                0.86486,                0.57567,                0.91824,                0.82092,                0.00167,                0.00167,                0.00167
                      7,                0.77207,                0.67737,                0.88489,                      1,                0.99979,                  0.995,                0.86374,                  0.515,                0.53886,                0.81901,               0.001604,               0.001604,               0.001604
                      8,                0.77824,                0.61437,                0.88918,                0.99968,                      1,                  0.995,                0.86936,                0.51451,                0.57001,                0.82746,               0.001538,               0.001538,               0.001538
                      9,                0.72466,                0.57378,                0.87968,                0.99954,                      1,                  0.995,                0.87086,                0.53198,                0.50614,                0.82804,               0.001472,               0.001472,               0.001472
                     10,                0.71372,                0.54227,                0.88067,                0.99955,                      1,                  0.995,                0.86073,                0.61247,                0.44438,                0.83709,               0.001406,               0.001406,               0.001406
                     11,                0.72078,                0.52869,                0.87002,                0.99956,                      1,                  0.995,                0.84671,                0.62192,                0.44682,                0.82816,                0.00134,                0.00134,                0.00134
                     12,                0.67608,                0.50315,                 0.8661,                 0.9996,                      1,                  0.995,                0.87381,                 0.4673,                 0.4001,                0.81204,               0.001274,               0.001274,               0.001274
                     13,                0.66399,                0.48348,                0.85517,                0.99962,                      1,                  0.995,                0.89566,                0.45591,                0.37597,                0.81248,               0.001208,               0.001208,               0.001208
                     14,                0.67416,                0.48795,                0.86732,                 0.9996,                      1,                  0.995,                0.87417,                0.53165,                0.39822,                0.82307,               0.001142,               0.001142,               0.001142
                     15,                0.66032,                0.46571,                0.86491,                0.99961,                      1,                  0.995,                0.90425,                0.41542,                0.35753,                0.81117,               0.001076,               0.001076,               0.001076
                     16,                 0.6408,                0.46007,                0.86378,                0.99963,                      1,                  0.995,                0.90704,                0.41036,                0.34709,                0.80396,                0.00101,                0.00101,                0.00101
                     17,                0.64391,                0.44613,                0.85299,                0.99964,                      1,                  0.995,                0.91713,                0.38168,                 0.3292,                0.80339,               0.000944,               0.000944,               0.000944
                     18,                0.59637,                0.42539,                0.84783,                0.99961,                      1,                  0.995,                0.92883,                0.38261,                0.31929,                0.80555,               0.000878,               0.000878,               0.000878
                     19,                0.61002,                0.40839,                0.85714,                0.99966,                      1,                  0.995,                 0.9134,                0.41323,                0.31308,                0.80912,               0.000812,               0.000812,               0.000812
                     20,                0.57605,                0.39733,                0.84405,                0.99964,                      1,                  0.995,                0.93873,                0.34834,                0.28761,                0.80089,               0.000746,               0.000746,               0.000746
                     21,                0.57557,                0.41004,                0.84035,                0.99962,                      1,                  0.995,                0.91346,                0.40829,                0.32374,                0.80729,                0.00068,                0.00068,                0.00068
                     22,                0.58037,                0.42719,                0.84227,                0.99954,                      1,                  0.995,                0.92843,                0.39077,                0.30203,                0.80868,               0.000614,               0.000614,               0.000614
                     23,                0.53599,                0.39311,                0.83308,                0.99941,                      1,                  0.995,                0.92451,                0.37819,                 0.2954,                0.80477,               0.000548,               0.000548,               0.000548
                     24,                0.54289,                 0.3884,                0.83284,                0.99954,                      1,                  0.995,                0.90389,                0.40566,                0.29137,                0.80559,               0.000482,               0.000482,               0.000482
                     25,                0.55467,                0.38111,                0.84336,                0.99962,                      1,                  0.995,                0.92726,                0.35125,                0.28657,                 0.7977,               0.000416,               0.000416,               0.000416
                     26,                0.53926,                0.36436,                0.84014,                0.99966,                      1,                  0.995,                0.93808,                0.33253,                0.26828,                0.79795,                0.00035,                0.00035,                0.00035
                     27,                0.53247,                0.36081,                0.83342,                0.99965,                      1,                  0.995,                0.93936,                0.33278,                0.25826,                0.79689,               0.000284,               0.000284,               0.000284
                     28,                0.53374,                0.36289,                0.83298,                0.99964,                      1,                  0.995,                0.93375,                0.35415,                0.25902,                0.80311,               0.000218,               0.000218,               0.000218
                     29,                0.52885,                0.35449,                0.82875,                0.99965,                      1,                  0.995,                0.93893,                0.33998,                0.25217,                0.80052,               0.000152,               0.000152,               0.000152
                     30,                0.49711,                0.34111,                0.81952,                0.99966,                      1,                  0.995,                0.93193,                0.34752,                0.24915,                0.80104,                8.6e-05,                8.6e-05,                8.6e-05
